ISHero1assists,ISHero1deaths,ISHero1denies,ISHero1gold,ISHero1hero,ISHero1heroDamage,ISHero1heroHealing,ISHero1kills,ISHero1lastHits,ISHero1xp,ISHero2assists,ISHero2deaths,ISHero2denies,ISHero2gold,ISHero2hero,ISHero2heroDamage,ISHero2heroHealing,ISHero2kills,ISHero2lastHits,ISHero2xp,ISHero3assists,ISHero3deaths,ISHero3denies,ISHero3gold,ISHero3hero,ISHero3heroDamage,ISHero3heroHealing,ISHero3kills,ISHero3lastHits,ISHero3xp,ISHero4assists,ISHero4deaths,ISHero4denies,ISHero4gold,ISHero4hero,ISHero4heroDamage,ISHero4heroHealing,ISHero4kills,ISHero4lastHits,ISHero4xp,OSHero1assists,OSHero1deaths,OSHero1denies,OSHero1gold,OSHero1hero,OSHero1heroDamage,OSHero1heroHealing,OSHero1kills,OSHero1lastHits,OSHero1xp,OSHero2assists,OSHero2deaths,OSHero2denies,OSHero2gold,OSHero2hero,OSHero2heroDamage,OSHero2heroHealing,OSHero2kills,OSHero2lastHits,OSHero2xp,OSHero3assists,OSHero3deaths,OSHero3denies,OSHero3gold,OSHero3hero,OSHero3heroDamage,OSHero3heroHealing,OSHero3kills,OSHero3lastHits,OSHero3xp,OSHero4assists,OSHero4deaths,OSHero4denies,OSHero4gold,OSHero4hero,OSHero4heroDamage,OSHero4heroHealing,OSHero4kills,OSHero4lastHits,OSHero4xp,OSHero5assists,OSHero5deaths,OSHero5denies,OSHero5gold,OSHero5hero,OSHero5heroDamage,OSHero5heroHealing,OSHero5kills,OSHero5lastHits,OSHero5xp,matchId
20.142857142857142,7.0,2.0,14722.040476190477,16.0,16415.0,0.0,6.571428571428571,100.14285714285714,18872.283333333333,18.0,9.5,1.5,15086.65,64.0,9565.0,0.0,4.0,82.5,18134.275,16.68,5.82,2.56,11811.164666666667,23.0,10280.02,27.28,3.14,63.08,15214.929333333333,10.428571428571429,6.0,12.857142857142858,19957.854761904764,36.0,25789.14285714286,4957.857142857143,11.0,199.42857142857142,21967.845238095237,15.5,8.5,3.5,11186.3,71.0,8665.0,0.0,5.5,53.0,12813.633333333333,11.127272727272727,5.618181818181818,22.327272727272728,18568.095757575757,95.0,16853.163636363635,505.1272727272727,6.836363636363636,228.21818181818182,21436.06666666667,21.5,6.5,3.8,16109.395,68.0,15863.2,0.0,5.7,68.7,18594.32,9.5,12.0,1.0,8266.158333333333,14.0,9526.0,0.0,4.5,34.5,9455.558333333334,5.5,3.0,16.5,10437.416666666668,13.0,12511.0,0.0,3.5,138.0,13053.316666666666,3305848843.0
9.45,4.65,17.95,24818.813333333328,48.0,24606.4,0.0,9.1,349.45,24666.665833333333,10.666666666666666,5.333333333333333,1.6666666666666667,8194.16111111111,5.0,5740.666666666667,0.0,3.3333333333333335,26.333333333333332,6943.561111111111,17.0,5.0,4.0,11371.45,96.0,8257.0,0.0,2.0,93.0,12345.45,15.6,7.3,14.5,11561.716666666665,51.0,16406.3,0.0,6.2,59.4,13119.796666666667,9.928571428571429,8.571428571428571,4.285714285714286,13231.695238095239,7.0,15131.42857142857,0.0,6.357142857142857,114.35714285714286,16121.538095238095,11.0,6.090909090909091,9.545454545454545,12847.63484848485,13.0,15499.181818181818,0.0,4.454545454545454,147.0,15485.554545454543,15.8,5.466666666666667,4.666666666666667,9537.644444444446,75.0,8684.333333333334,0.0,2.066666666666667,51.266666666666666,11544.693333333333,12.575757575757576,11.212121212121213,4.9393939393939394,11479.538888888888,27.0,12072.818181818182,0.0,4.636363636363637,73.60606060606061,14649.175252525252,10.0,6.0,27.0,10129.6,20.0,7111.0,0.0,4.0,89.0,10056.55,3312410661.0
14.0,6.0,3.0,11157.066666666668,7.0,14788.0,0.0,4.0,50.0,11157.066666666668,22.0,1.0,1.0,20979.733333333334,33.0,19590.0,0.0,3.0,252.0,24649.333333333332,14.0,2.25,19.75,19949.858333333334,95.0,16829.0,443.0,10.25,207.0,20675.216666666667,20.0,7.0,2.0,11638.933333333332,112.0,7150.0,0.0,3.0,44.0,13900.0,12.0,6.0,3.0,9377.866666666667,85.0,6278.0,3229.0,3.0,43.0,9970.933333333332,9.0,7.0,18.0,15234.4,102.0,16092.0,2750.0,4.0,182.0,18978.133333333335,17.571428571428573,7.0,11.857142857142858,21671.70714285714,4.0,28024.0,1681.0,10.142857142857142,285.85714285714283,26025.378571428573,14.866666666666667,4.816666666666666,4.566666666666666,19554.22972222222,92.0,21325.766666666666,0.0,9.85,132.31666666666666,20861.945555555558,8.0,10.0,1.0,10712.266666666666,5.0,12599.0,0.0,4.0,63.0,15382.666666666666,3311329375.0
8.0,5.5,2.5,16554.233333333334,9.0,9253.5,0.0,4.5,174.0,17694.0,9.0,5.125,1.625,11984.166666666666,7.0,11648.875,0.0,4.125,115.875,15569.058333333332,20.0,5.0,3.0,15190.0,68.0,12999.0,0.0,2.0,50.0,17924.2,15.333333333333334,3.6666666666666665,34.333333333333336,22127.5,42.0,31752.666666666668,2980.0,9.333333333333334,278.6666666666667,27765.016666666666,7.0,12.0,0.0,20007.4,69.0,15637.0,0.0,2.0,152.0,20701.8,5.0,6.0,15.5,21949.4,48.0,23152.5,0.0,8.0,369.0,25512.36666666667,11.1,6.9,1.5,10930.165,5.0,9759.1,0.0,3.0,58.0,13987.106666666665,6.166666666666667,6.666666666666667,26.0,18187.058333333334,76.0,28771.5,0.0,10.333333333333334,223.0,21267.172222222223,10.0,10.0,0.0,11110.4,62.0,12089.0,0.0,3.0,27.0,14712.6,3290996919.0
8.7,5.5,18.3,19258.344999999998,70.0,28067.8,712.05,14.4,180.0,21278.509166666663,19.0,5.0,6.5,11618.816666666666,20.0,12903.0,0.0,5.0,91.5,14096.533333333333,11.666666666666666,8.666666666666666,15.333333333333334,17378.911111111112,33.0,17694.333333333332,1376.6666666666667,3.0,184.0,17808.649999999998,16.833333333333332,7.833333333333333,3.5,11078.52777777778,75.0,13635.666666666666,0.0,5.166666666666667,55.833333333333336,13677.011111111111,8.333333333333334,7.666666666666667,3.6666666666666665,12883.13888888889,27.0,8961.0,0.0,5.333333333333333,104.0,16942.655555555553,16.75,11.625,6.25,14538.347916666668,14.0,18647.0,0.0,5.375,80.125,19746.0875,12.333333333333334,6.444444444444445,0.4444444444444444,11453.148148148148,7.0,13108.111111111111,0.0,4.666666666666667,89.77777777777777,14763.238888888889,5.0,2.0,11.333333333333334,15138.494444444446,77.0,8742.333333333334,12883.333333333334,6.333333333333333,187.0,15042.08888888889,8.45,5.55,9.45,25446.330833333333,25.0,27995.7,1678.65,12.9,354.85,26988.55416666666,3303555278.0
9.5,3.5,0.0,21991.3,97.0,5208.5,0.0,3.0,275.5,23041.666666666664,11.857142857142858,3.0,14.857142857142858,20627.783333333333,41.0,19770.14285714286,214.85714285714286,10.142857142857142,227.0,23108.452380952385,17.75,8.25,3.0,11675.620833333334,28.0,6746.25,0.0,1.625,69.875,15769.872916666667,16.0,5.0,5.5,14138.466666666667,37.0,10928.0,6438.0,5.0,71.5,18992.808333333334,10.0,5.5,32.0,31300.99166666667,8.0,33725.0,0.0,10.0,433.5,33889.625,5.666666666666667,8.666666666666666,7.333333333333333,13230.988888888889,88.0,13759.0,0.0,5.333333333333333,98.33333333333333,16543.877777777776,5.5,9.5,2.0,7028.908333333333,23.0,5676.0,0.0,1.5,36.5,8673.791666666668,8.0,8.0,7.0,26236.74166666667,34.0,39357.5,582.5,7.0,449.0,29672.125,10.5,7.0,1.0,10866.193055555555,86.0,4688.916666666667,4.666666666666667,1.75,37.083333333333336,12288.565277777778,3295068374.0
14.0,7.0,5.0,12032.066666666668,113.0,9984.0,0.0,2.0,73.0,11187.2,12.64,7.12,6.4,15011.860666666667,60.0,16646.76,74.56,8.32,109.32,17527.66866666667,13.0,1.5,1.0,8732.933333333334,31.0,11057.5,0.0,5.0,27.5,10759.066666666666,9.8,5.4,17.4,17526.32,109.0,18500.8,9.8,6.4,231.4,17353.493333333336,15.88888888888889,5.333333333333333,4.222222222222222,16721.70925925926,13.0,23418.222222222223,0.0,11.444444444444445,132.77777777777777,20313.207407407408,11.652173913043478,4.260869565217392,21.869565217391305,18939.477536231887,8.0,19436.695652173912,0.0,8.565217391304348,234.8695652173913,20344.926811594203,13.444444444444445,7.111111111111111,1.8888888888888888,8968.405555555555,28.0,5654.222222222223,0.0,1.5555555555555556,31.11111111111111,10895.16851851852,8.0,3.0,1.0,8361.266666666666,97.0,6972.0,0.0,3.0,82.0,10837.6,16.775,10.325,1.475,13308.090000000002,14.0,21192.775,0.0,9.1,50.35,17192.535,3306594547.0
13.64516129032258,6.612903225806452,4.0,16741.449462365592,7.0,20228.516129032258,35.806451612903224,7.032258064516129,152.90322580645162,20709.784946236556,21.333333333333332,7.333333333333333,15.0,31186.377777777776,35.0,41680.666666666664,0.0,12.666666666666666,382.0,31938.32777777778,14.0,19.0,0.5,27310.575,105.0,40205.0,0.0,10.5,229.5,25530.49166666667,16.875,7.0,1.75,13810.397916666667,92.0,14794.0,284.625,5.875,60.125,18909.466666666667,12.9375,5.802083333333333,22.083333333333332,21609.213194444445,4.0,26957.791666666668,2202.6354166666665,12.125,217.86458333333334,24063.014930555553,21.166666666666668,7.5,8.833333333333334,30608.38055555556,40.0,53446.833333333336,0.0,6.0,410.3333333333333,34802.33611111111,17.375,9.625,0.625,14773.243750000001,28.0,8967.125,0.0,4.625,98.875,20362.21875,14.08695652173913,8.26086956521739,1.6956521739130435,15207.556159420288,110.0,23697.41304347826,3105.6739130434785,5.326086956521739,128.41304347826087,22179.794565217395,12.0,9.666666666666666,10.333333333333334,12645.322222222223,60.0,16115.666666666666,0.0,8.333333333333334,98.33333333333333,16522.75,3320529145.0
12.5,9.75,2.25,18719.1625,98.0,25383.5,864.5,6.75,177.0,27003.120833333334,10.116666666666667,6.266666666666667,16.416666666666668,19358.659166666668,4.0,22475.216666666667,1745.3833333333334,9.65,211.81666666666666,21166.878055555557,14.625,7.5,0.5,12768.6,14.0,13426.25,0.0,5.5,43.5,16754.402083333334,25.0,4.0,2.0,15606.6,90.0,12948.0,2470.0,3.0,90.0,18981.0,10.0,9.0,39.0,25542.333333333332,76.0,52353.0,0.0,17.0,285.0,28494.933333333334,15.0,13.0,2.0,12888.333333333334,102.0,16594.0,4191.0,5.0,113.0,21230.6,19.5,8.0,3.0,10992.691666666666,87.0,9875.5,0.0,2.0,40.5,14722.358333333334,19.0,8.0,0.75,11368.9375,84.0,12315.5,0.0,3.0,25.5,16214.583333333332,12.5,10.0,9.0,28179.2,93.0,25359.5,0.0,9.0,413.5,36541.816666666666,3318153509.0
17.333333333333332,7.333333333333333,2.0,14154.905555555555,9.0,14256.5,0.0,4.5,133.83333333333334,16314.96111111111,25.0,3.0,5.0,21075.75,63.0,33018.0,0.0,12.0,195.0,25988.833333333332,17.14814814814815,8.351851851851851,1.7037037037037037,14113.911419753087,65.0,19640.703703703704,0.8148148148148148,8.851851851851851,110.03703703703704,17419.075617283954,16.76923076923077,9.384615384615385,1.3076923076923077,12130.63205128205,86.0,10554.384615384615,79.38461538461539,5.230769230769231,33.38461538461539,13913.410256410254,11.0,12.0,1.0,13132.166666666666,112.0,10162.0,0.0,4.0,97.0,16484.083333333332,8.523809523809524,5.5396825396825395,11.73015873015873,18683.23783068783,93.0,19411.79365079365,0.0,7.873015873015873,222.6984126984127,22413.516402116402,10.166666666666666,7.083333333333333,5.333333333333333,13190.936111111112,108.0,16177.833333333334,1801.75,3.0,155.83333333333334,15725.690277777778,9.214285714285714,6.0,8.642857142857142,22386.898809523806,25.0,24014.285714285714,3137.5714285714284,10.785714285714286,313.0,25703.364285714284,14.0,11.0,1.0,11754.666666666666,71.0,7252.0,0.0,3.0,48.0,15657.583333333334,3298107700.0
