invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 16, 44, 20, 15, 76, 77, 46, 29, 20, 34, 36, 46, 25, 46, 46, 265, 46, 64, 65, 60, 23, 21, 22, 108, 257, 47, 48, 1, 61, 59, 60, 129, 58]",83,410619003,32,193618228,70,221741027,69,93282398,False,3308429732,30,139769992,59,118661272,108,131543525,92,114166172,14,280497488
"[44, 20, 15, 76, 20, 15, 76, 77, 29, 25, 46, 46, 46, 64, 65, 23, 46, 60, 21, 22, 108, 46, 47, 48, 24, 57, 58, 96, 56, 57, 122, 69, 24, 123, 115, 8, 21, 116]",41,114153398,110,59659716,5,252029095,44,75060705,True,3300368814,1,366724341,75,105323304,112,11778696,40,181145254,106,155056441
"[20, 15, 76, 237, 16, 39, 29, 34, 46, 265, 20, 16, 46, 36, 25, 64, 65, 60, 23, 21, 46, 22, 108, 46, 47, 48, 23, 57, 56, 122, 69, 24, 123, 1, 58, 24, 57, 96]",65,123777361,111,341057912,54,111807830,100,236677177,True,3290735042,3,77044866,93,359150735,7,77523235,5,75102521,39,316418025
"[20, 15, 76, 237, 16, 39, 28, 12, 88, 29, 64, 25, 65, 46, 46, 23, 57, 244, 99, 100, 38, 23, 21, 22, 60, 108, 47, 48, 24, 56, 57, 69, 122, 123, 58, 61, 59, 60, 129, 235, 58, 24, 9, 57, 118, 119, 58, 96]",114,21270361,14,198370942,27,108128811,10,230608100,False,3323707886,56,91159880,48,54075055,16,24564637,86,103601980,71,29943390
"[20, 15, 76, 16, 39, 29, 46, 265, 46, 46, 46, 64, 46, 46, 25, 65, 46, 60, 23, 21, 46, 22, 108, 23, 56, 101, 102, 46, 1, 30, 47, 48, 58, 61, 59, 60, 129, 235]",27,96810662,42,111040916,7,24637540,23,341356684,True,3291013636,107,113923026,32,86858187,54,150155763,75,107622149,110,98813506
"[20, 15, 76, 16, 39, 29, 34, 38, 46, 38, 20, 265, 36, 46, 42, 25, 38, 64, 38, 65, 60, 46, 23, 21, 46, 22, 108, 46, 47, 38, 48, 24, 56, 57, 122, 69, 122, 123]",83,110302184,95,117950406,110,128071308,47,110770193,False,3289555467,26,76177845,69,94808131,14,169332992,8,132183311,17,196482746
"[20, 15, 76, 237, 16, 39, 20, 15, 76, 46, 77, 265, 29, 25, 38, 46, 39, 64, 65, 23, 21, 22, 60, 108, 46, 47, 48, 38, 23, 38, 57, 244, 99, 100, 56, 57, 122, 69, 24, 123, 61, 60, 59, 129, 58, 235]",18,94808131,79,167614136,86,132491643,16,136727069,False,3319022095,93,407170763,97,138424486,51,168143840,23,99100121,34,226485671
"[20, 15, 76, 16, 44, 46, 20, 15, 76, 38, 77, 29, 25, 46, 64, 65, 38, 20, 34, 36, 60, 46, 23, 21, 22, 108, 46, 23, 56, 101, 102, 47, 48]",40,91048330,84,118704423,75,165782191,8,399583962,True,3320185379,71,325753259,51,143848331,39,168072196,5,179343979,70,353237056
"[20, 15, 76, 16, 39, 29, 20, 34, 34, 36, 25, 46, 46, 64, 65, 46, 60, 46, 23, 21, 22, 108, 46, 46, 23, 56, 101, 101, 102, 46, 47, 48, 56, 57, 69, 122, 24, 123, 61, 59, 60, 129]",26,109847689,95,176616331,7,137564125,88,86745556,False,3308683837,20,84534848,35,91852305,110,98813506,101,383626869,51,129217048
"[20, 15, 76, 16, 39, 29, 38, 20, 15, 76, 77, 20, 34, 265, 36, 46, 25, 64, 65, 60, 23, 21, 22, 108, 46, 23, 57, 244, 99, 100]",51,112027423,114,19195168,62,220749675,3,117496630,True,3294945855,14,260283639,70,122813174,16,369211593,30,61867113,39,108421085
"[20, 15, 76, 16, 237, 20, 15, 76, 20, 15, 77, 76, 46, 29, 25, 46, 46, 64, 65, 46, 46, 23, 38, 56, 101, 102, 38, 60, 23, 21, 22, 108, 1, 46, 47, 48, 61, 59, 60, 129, 58, 235]",86,98129651,56,279465320,69,104660689,14,97650749,False,3303653955,51,121642227,106,137564125,101,150550155,61,399035363,28,242873897
"[25, 25, 44, 44, 64, 65, 29, 28, 46, 20, 13, 72, 73, 244, 184, 38, 185, 46, 38, 23, 21, 46, 60, 22, 108, 57, 24, 46, 56, 122, 69, 123, 46, 58, 61, 59, 60, 129, 235, 47, 48, 56, 57, 69, 109, 110]",17,6484708,3,241885279,79,77419686,7,82907677,False,3293160009,4,35831036,26,108080298,70,133888350,22,102732874,104,27738470
"[20, 15, 76, 237, 16, 39, 29, 25, 38, 64, 65, 60, 23, 21, 22, 38, 108, 47, 48, 257, 1, 56, 57, 69, 56, 57, 109, 69, 110, 22, 18, 169, 170]",59,295102376,50,125296480,5,253394676,8,123681452,False,3320881756,68,218888626,113,41336506,13,316807118,14,43237097,55,211733201
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 39, 20, 15, 15, 76, 77, 29, 46, 265, 25, 20, 16, 34, 36, 64, 38, 65, 46, 23, 46, 60, 21, 46, 46, 22, 38, 108, 47, 48, 1, 58]",56,326285427,28,123279117,75,179553358,2,213265626,True,3306865253,50,185905134,9,118579267,63,120461457,35,118117831,23,62119103
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 39, 39, 20, 15, 20, 15, 76, 77, 29, 25, 46, 46, 64, 65, 46, 46, 46, 60, 23, 21, 22, 108, 46, 23, 56, 101, 56, 102, 46, 47, 48, 38, 21, 8, 115, 115, 116, 1]",84,169488414,42,121827756,65,136480587,87,227244353,False,3311919742,26,126428539,5,54075055,4,107641697,76,169421442,51,118004554
"[20, 15, 76, 16, 46, 44, 46, 46, 20, 34, 46, 36, 29, 46, 265, 25, 38, 46, 64, 38, 65, 38, 38, 60, 23, 38, 21, 22, 108, 47, 38, 48, 1, 24, 122, 56, 57, 69, 123, 61, 59, 60, 129, 58, 235]",40,318662160,70,160547836,3,200183754,21,36410968,True,3307930260,107,131365523,55,86846354,111,231227031,44,198388096,59,150674829
"[20, 15, 76, 16, 46, 16, 39, 16, 20, 15, 76, 77, 20, 34, 36, 38, 29, 38, 265, 46, 25, 64, 65, 60, 46, 23, 21, 22, 108, 47, 48, 21, 8, 115, 116]",63,328082247,31,11738415,98,86738694,7,173119479,True,3296649877,62,114441753,106,178366364,26,412753955,93,122049498,60,219954803
"[20, 15, 76, 16, 44, 20, 15, 76, 77, 29, 20, 34, 36, 25, 46, 46, 46, 64, 65, 60, 23, 21, 22, 46, 108, 38, 46, 47, 48, 23, 57, 244, 99, 100, 38, 61, 59, 60, 129, 38]",7,201547459,50,120809137,90,125814840,59,405750551,True,3296133795,1,325400919,60,137050716,86,365381070,40,101169875,99,214195050
