invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 44, 237, 16, 39, 29, 38, 265, 12, 38, 25, 46, 64, 28, 65, 12, 20, 15, 76, 77, 38, 28, 88, 265, 46, 23, 21, 22, 38, 60, 108]",87,58471318,8,64253141,28,208072887,110,113336711,False,3298862090,64,328681120,70,126968387,105,81991034,78,47529331,107,206532120
"[20, 15, 76, 237, 16, 38, 39, 46, 29, 38, 39, 38, 46, 25, 46, 46, 38, 64, 65, 38, 60, 23, 21, 22, 38, 108, 38, 46, 20, 34, 36, 57, 46, 56, 69, 24, 46, 46, 46, 122, 123, 1, 47, 48, 60]",102,368005867,67,196464996,84,184652576,71,123501262,True,3289121822,4,165878782,23,226178165,60,26398526,44,192283013,16,111616346
"[20, 15, 76, 16, 39, 12, 28, 88, 29, 25, 265, 38, 64, 65, 60, 46, 23, 46, 21, 22, 38, 108, 23, 56, 101, 102, 46, 47, 48, 1, 61, 59, 60, 129]",71,361965497,44,31601046,2,27699320,20,193768494,False,3299763261,51,191670043,63,175583515,86,100303173,56,358080114,97,287207364
"[20, 15, 76, 16, 237, 20, 15, 76, 77, 28, 29, 2, 2, 50, 20, 46, 265, 12, 12, 91, 46, 92, 25, 64, 65, 46, 60, 46, 23, 46, 21, 22, 108, 1]",86,230987627,27,114190463,70,120733131,16,86739552,False,3312944213,95,112074263,37,316342067,61,179159625,31,385404722,104,113923026
"[20, 15, 76, 237, 16, 39, 29, 25, 38, 46, 64, 65, 265, 46, 60, 46, 46, 21, 23, 46, 22, 108, 46, 46, 46, 47, 48, 8, 21, 115, 116, 24, 57, 58, 96]",95,110291438,99,198366914,7,117885929,101,120695008,True,3300394105,70,21598089,88,95204221,45,107233382,25,191375056,14,4945631
"[20, 15, 76, 237, 16, 20, 15, 77, 76, 237, 16, 39, 46, 29, 265, 38, 25, 46, 38, 39, 38, 64, 65, 46, 38, 38, 46, 60, 23, 21, 46, 22, 38, 46, 108, 38, 38, 46, 47, 48, 56, 57, 69, 122, 24, 123, 8, 240, 168]",41,59655984,32,203404499,109,137209698,26,87075703,True,3301418114,36,145771937,39,286409310,113,169817688,14,108958769,67,113045906
"[20, 15, 76, 16, 39, 20, 34, 20, 15, 76, 77, 36, 29, 38, 31, 25, 38, 64, 38, 65, 38, 60, 23, 21, 22, 38, 108, 46, 47, 48, 1, 21, 8, 115, 116, 61, 59, 60, 129, 38, 58, 235]",44,122581105,62,258092855,36,357110030,23,339151342,True,3294725255,26,107260877,6,153158848,76,113331417,66,100454318,7,100965148
"[20, 15, 76, 20, 15, 76, 20, 15, 77, 76, 16, 237, 16, 237, 39, 29, 46, 28, 38, 46, 46, 46, 38, 12, 88, 64, 25, 65, 38, 23, 38, 57, 244, 99, 38, 100, 46, 23, 21, 22, 60, 108, 46, 61, 59, 60, 129, 58, 235, 46, 47, 48, 118, 9, 58, 119]",64,119478091,71,122777079,1,241519559,37,401222104,False,3325723787,4,123394160,11,129723600,62,192481986,70,103651950,55,92824319
"[20, 15, 76, 20, 15, 77, 76, 16, 16, 39, 20, 15, 15, 76, 77, 29, 20, 34, 265, 36, 25, 64, 65, 38, 46, 23, 21, 22, 60, 108, 23, 57, 244, 99, 100, 46, 46, 47, 48, 56, 57, 122, 69, 24, 123, 61, 59, 60, 129, 58, 235]",15,111910051,88,101849748,16,250926936,5,124148571,False,3294864534,61,151787403,63,28302100,27,162677552,26,117022898,25,88440122
"[20, 15, 76, 16, 39, 20, 34, 36, 29, 25, 46, 64, 38, 65, 46, 38, 38, 60, 23, 21, 22, 108, 46, 46, 47, 48, 240, 265, 1, 56, 57, 122, 69, 24, 122, 123, 58, 61, 59, 60, 129, 235]",70,152413777,97,165683984,14,155090646,101,167554273,False,3309528239,7,114130982,25,165111336,68,399437698,88,347532698,54,296843366
"[20, 15, 76, 16, 39, 20, 34, 29, 38, 36, 25, 46, 46, 64, 65, 265, 38, 60, 23, 21, 22, 38, 108, 46, 47, 48, 24, 122, 56, 57, 69, 123, 21, 8, 115, 116, 118, 58, 9, 119, 1]",7,185970465,5,89077048,36,116444256,101,196909055,False,3320186033,75,40494734,104,22998462,70,8372707,79,16472018,27,31966955
"[20, 15, 76, 16, 237, 44, 20, 15, 76, 77, 29, 25, 64, 38, 65, 38, 60, 23, 46, 46, 21, 22, 108, 38, 46, 24, 46, 122, 57, 56, 69, 123, 46, 47, 48, 61, 59, 60, 129]",1,329971619,26,107490140,62,143643446,3,9403474,True,3312641215,71,315486060,36,200214507,30,114949514,4,167346323,16,71266407
"[20, 15, 76, 16, 16, 20, 34, 36, 20, 15, 76, 77, 39, 38, 46, 46, 29, 25, 46, 64, 65, 46, 60, 23, 21, 46, 22, 38, 108, 47, 48, 24, 56, 57, 69, 122, 38, 123, 1, 40]",18,75824033,75,85517469,7,386571381,57,130157283,True,3320235237,87,215132465,94,174936711,4,228113994,14,83694679,88,388767811
"[20, 15, 76, 237, 16, 39, 20, 15, 76, 77, 39, 29, 46, 20, 16, 34, 265, 36, 25, 46, 64, 65, 28, 20, 13, 72, 73, 244, 184, 185, 46, 46, 60, 23, 21, 46, 46, 22, 108, 47, 48, 237, 39, 24, 56, 57, 69, 122, 123]",50,127549409,96,201556231,97,84499036,18,195711576,True,3302794471,25,116099993,40,91461002,53,254294811,71,49465947,44,194016102
"[20, 15, 76, 16, 237, 20, 15, 76, 77, 39, 46, 34, 29, 46, 25, 46, 46, 64, 46, 38, 65, 46, 60, 23, 21, 22, 108, 46, 46, 25, 17, 63, 56, 57, 69]",70,123036633,40,181959667,87,215311917,41,132456700,False,3322012917,95,203959071,36,153980367,114,139480243,28,74541601,83,192550201
"[20, 15, 76, 237, 16, 39, 34, 46, 29, 20, 15, 76, 77, 46, 25, 46, 38, 64, 65, 23, 57, 244, 46, 99, 100, 46, 47, 48, 1, 60, 21, 23, 22, 108, 58]",23,96262020,63,92824319,13,118357471,14,262249264,False,3312592133,79,55344636,36,70372925,71,150998763,33,134506584,95,288806972
"[20, 15, 76, 237, 16, 20, 15, 76, 77, 29, 38, 25, 38, 46, 38, 64, 65, 46, 60, 23, 21, 22, 46, 108, 46, 47, 48, 257, 1, 56, 57, 122, 69, 24, 123]",63,106594339,30,384877006,92,180782581,28,149604541,True,3300680970,14,319721082,82,163591637,21,266372188,77,59655984,7,350947485
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 20, 16, 34, 29, 36, 38, 265, 25, 64, 65, 46, 60, 46, 23, 21, 22, 38, 108, 1, 47, 48, 21, 8, 115, 116, 9, 58, 118, 119]",62,121123910,71,207316207,4,198316694,27,389324946,True,3312272654,93,283018316,34,233947985,55,92755329,5,97731442,87,217472313
"[29, 20, 16, 15, 76, 20, 15, 76, 20, 15, 77, 76, 39, 16, 39, 16, 29, 244, 46, 20, 15, 76, 77, 46, 25, 46, 64, 65, 265, 46, 23, 56, 101, 102, 46, 60, 46, 23, 21, 22, 46, 108]",15,389202842,86,96811367,83,113785093,108,102186517,False,3301573929,88,175200197,4,116850318,70,135008054,101,79892048,45,313489530
"[20, 15, 76, 16, 29, 39, 38, 20, 34, 36, 38, 39, 25, 64, 65]",68,272759384,13,115581696,41,93581800,71,110302184,True,3320816976,70,77044866,59,103864346,86,207778309,105,152423323,102,311255986
"[20, 15, 76, 16, 39, 28, 12, 88, 20, 34, 29, 36, 25, 38, 38, 64, 65, 60, 21, 23, 22, 38, 108, 47, 48, 9, 58, 118, 118, 119, 1, 58, 57, 24, 96]",7,146530598,75,92620439,60,180216792,18,148603884,False,3304850768,46,193965412,20,234787093,27,114000088,40,125069045,8,114329846
"[20, 15, 76, 77, 16, 20, 15, 16, 38, 16, 38, 39, 29, 25, 265, 46, 46, 64, 65, 60, 23, 21, 22, 108, 46, 23, 244, 99, 57, 100, 46]",87,134412767,58,130157283,7,160742026,18,123349095,True,3305555302,64,295470035,41,132486134,86,406807594,82,253936521,59,381116946
"[20, 15, 76, 237, 16, 39, 20, 15, 76, 77, 38, 20, 16, 34, 36, 29, 25, 38, 64, 38, 65, 38, 23, 21, 22, 60, 108, 46, 23, 56, 101, 102, 47, 48, 56, 57, 122, 69, 24, 123]",95,192923936,14,126693197,3,118494127,71,303568700,True,3313714546,104,187468990,103,109895827,7,101805456,59,178015384,86,251997032
"[20, 15, 76, 16, 237, 64, 25, 65, 29, 244, 23, 99, 57, 100, 46, 23, 21, 22, 60, 22, 108, 46, 47, 48, 1]",10,16900915,51,75060705,42,123129540,94,16106615,False,3301533044,57,124599551,45,86952930,40,167940335,56,258248783,97,89462771
"[20, 15, 76, 16, 237, 39, 29, 25, 46, 46, 46, 34, 38, 64, 65, 46, 46, 46, 46, 23, 21, 22, 38, 38, 60, 108, 23, 46, 101, 46, 56, 102, 38, 57, 46]",40,99582760,21,404619346,107,260362704,110,115571174,False,3323372925,84,176875310,65,215885558,8,172859835,35,171152649,114,122737126
"[20, 15, 76, 16, 237, 39, 20, 15, 76, 77, 29, 25, 46, 34, 46, 16, 20, 36, 46, 46, 64, 65, 46, 23, 21, 60, 22, 108, 46, 47, 48, 38, 1, 23, 56, 101, 102, 58, 61, 59, 60, 129, 235, 56, 57, 109, 69, 110]",63,240826714,27,254039373,62,131271703,70,207094205,False,3317925269,40,158649479,98,265429044,30,316861380,21,183530156,56,115149914
"[20, 15, 76, 16, 39, 34, 29, 20, 38, 36, 25, 38, 46, 38, 64, 38, 46, 65, 46, 60, 21, 38, 23, 22, 108, 46, 47, 48, 1, 38, 38, 61, 59, 60, 129, 58, 235]",99,106101989,41,164827274,90,54023075,53,320034188,True,3310986660,63,134330965,37,114555680,98,396885014,14,402318049,44,128524356
"[20, 15, 76, 20, 15, 77, 76, 16, 16, 16, 39, 20, 15, 76, 77, 29, 20, 16, 34, 36, 25, 265, 64, 38, 65, 60, 23, 21, 22, 38, 108, 216, 47, 48, 39, 216, 38, 216, 216, 216, 216, 216, 216]",70,172784619,28,145489199,87,338725225,97,191169371,True,3297019300,34,121872429,12,58333330,29,37339960,57,14619604,58,54104439
"[20, 15, 76, 16, 39, 29, 20, 15, 76, 77, 25, 38, 38, 64, 38, 65, 60, 23, 21, 22, 46, 108, 47, 48, 257, 1, 21, 8, 115, 115, 116, 38, 58, 61, 59, 60, 129, 235]",60,94490960,63,102994789,27,89384261,7,152489178,True,3308512695,13,229109779,31,126468453,41,60404240,47,118670714,85,100229755
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 29, 25, 38, 64, 65, 60, 46, 46, 23, 38, 21, 22, 108, 46, 47, 48, 1, 257, 118, 9, 58, 119, 58, 61, 59, 60, 129, 235, 257, 47, 220]",4,122872187,14,111299886,50,127630372,59,154225995,True,3313853897,44,73484482,98,113608947,97,139025163,36,142601009,2,116624532
"[20, 15, 76, 16, 39, 34, 20, 16, 36, 29, 25, 46, 46, 64, 46, 65, 60, 46, 46, 23, 46, 21, 46, 22, 108, 47, 48, 57, 56, 69, 122, 24, 123, 58, 61, 59, 60, 129, 235, 21, 8, 115, 116, 56, 57, 56, 109, 69, 110]",57,371584940,107,339042793,40,123814725,97,179457862,True,3320759756,14,108400489,23,147680069,25,389294725,93,122443956,88,177993915
"[20, 15, 76, 16, 20, 34, 29, 46, 38, 36, 25, 265, 64, 65, 46, 46, 46, 28, 20, 13, 72, 244, 73, 184, 60, 23, 185, 46, 46, 21, 22, 108, 47, 48, 61, 59, 60, 129, 40, 58, 235]",4,31778508,99,93393543,8,179588286,98,299603321,True,3306186202,61,364622395,66,86815523,19,228306899,9,184909563,101,304428831
"[20, 15, 76, 16, 20, 15, 76, 77, 29, 38, 25, 39, 46, 265, 64, 65, 46, 60, 23, 21, 22, 38, 108, 47, 48, 1, 38, 21, 8, 115, 116, 58, 61, 59, 60, 129, 235, 38, 216, 38, 38, 38, 56, 57, 109, 69, 110]",79,203149226,94,107158411,7,182983407,102,302342930,False,3315934708,35,116476312,88,92869035,48,239136203,101,92890437,57,115855193
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 39, 29, 39, 46, 20, 34, 25, 36, 64, 38, 65, 38, 60, 46, 23, 21, 22, 108, 1, 46, 47, 48, 46, 21, 8, 115, 116, 9, 58, 118, 119]",41,94049589,14,116357942,57,119137163,64,99394623,False,3318072821,13,114933489,86,144205561,6,26316691,7,215457595,63,152770061
"[20, 15, 76, 16, 38, 39, 28, 12, 88, 29, 25, 64, 38, 65, 38, 38, 60, 23, 46, 21, 22, 108, 46, 1, 38, 47, 48, 8, 115, 21, 116, 61, 59, 60, 129, 58, 235]",18,383523733,99,194252268,103,148700175,54,325094465,True,3324265986,106,50033412,110,124846440,79,69497606,7,154260125,33,100772875
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 29, 43, 218, 46, 25, 64, 65, 23, 21, 22, 38, 60, 108, 46, 38, 46, 23, 56, 101, 102, 46, 47, 48, 58, 61, 59, 60, 129, 235, 216, 21, 8, 115, 116, 21, 18, 262, 236, 263, 58, 57, 24, 96]",102,265870640,86,113803715,23,172732062,56,113614406,True,3317073443,32,221188421,34,202622235,7,260383120,18,49423582,27,46174171
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 15, 15, 20, 76, 77, 38, 39, 265, 29, 38, 25, 46, 46, 64, 65, 59, 180]",56,89208003,96,86788862,71,120920002,92,116086249,True,3315246633,39,167963776,42,354185791,14,147858311,50,92824319,99,128771383
"[20, 15, 76, 16, 34, 20, 36, 29, 25, 64, 38, 65, 46, 23, 21, 22, 60, 108, 46, 23, 56, 101, 102, 46, 46, 47, 30, 48, 122, 56, 57, 69, 24, 123, 61, 59, 60, 129, 58, 235]",64,142180102,28,161053325,63,153258787,6,351253569,False,3307079236,92,175335893,7,166050434,82,297714547,104,172013854,44,104789710
"[20, 15, 76, 237, 16, 46, 39, 20, 15, 76, 77, 25, 64, 65, 29, 38, 46, 46, 23, 57, 244, 99, 100, 60, 46, 23, 21, 22, 108, 47, 48, 24, 56, 57, 69, 122, 123, 60, 61, 59, 129, 58, 235]",104,120090915,88,215457595,86,107269778,15,115726478,True,3290785432,13,16168874,16,134506584,75,99604097,70,401431138,53,174594851
"[20, 15, 76, 237, 16, 44, 39, 29, 20, 16, 34, 38, 36, 46, 25, 46, 46, 64, 65, 46, 244, 23, 38, 60, 21, 22, 46, 108, 38, 38, 57, 46, 23, 99, 100, 47, 48]",41,295102376,50,162768671,59,76680522,111,120733131,False,3313141433,71,121087773,27,86788644,39,122895378,1,307315181,16,177233861
"[20, 15, 76, 16, 44, 20, 15, 15, 76, 77, 29, 34, 20, 36, 25, 64, 65, 38, 23, 21, 46, 46, 22, 46, 60, 108, 23, 57, 244, 99, 100, 47, 48, 57, 58, 58, 24, 96]",91,237871919,40,95741313,83,81672264,41,86826141,True,3289269945,57,391570962,70,185077206,34,189038762,27,179648045,62,36327727
"[20, 15, 76, 237, 16, 44, 29, 34, 46, 25, 38, 64, 65, 23, 46, 46, 46, 57, 244, 99, 38, 100, 60, 46, 23, 21, 22, 108, 46, 46, 47, 48, 24, 56, 57, 69, 122, 123, 1]",2,135134540,107,316116397,14,378635743,18,414415515,False,3296470716,1,177575967,99,83457520,75,56346886,9,370071180,28,146714095
"[20, 15, 76, 16, 39, 43, 20, 34, 29, 36, 25, 265, 265, 38, 46, 42, 257, 43, 218, 43, 218, 64, 65, 60, 46, 23, 46, 21, 46, 22, 46, 108, 47, 48, 21, 8, 115, 116, 1, 58, 61, 59, 60, 129, 235, 38]",14,113591556,40,327025084,69,41277068,63,171796206,True,3299698368,7,222163837,11,27699320,84,100303173,42,254294811,16,345024237
"[20, 15, 76, 16, 15, 20, 76, 77, 29, 46, 25, 64, 65, 46, 23, 46, 21, 22, 60, 108, 46, 47, 48, 38, 23, 56, 101, 102, 38, 58, 61, 59, 60, 129, 235, 24, 57, 58, 96, 55, 247, 56, 57, 109, 69, 110]",20,206241033,28,363961740,53,133714050,54,175142984,True,3314443977,8,122516773,107,152855028,106,197702905,37,122784140,97,266490480
"[20, 15, 76, 237, 16, 39, 29, 43, 34, 46, 25, 46, 46, 46, 64, 38, 65, 46, 46, 46, 23, 56, 101, 102, 23, 57, 244, 99, 100, 46, 60, 23, 21, 46, 21, 46, 22, 108, 24, 56, 57, 69, 122, 123]",101,134863657,56,249123300,108,236597573,51,343259930,True,3294922443,40,106213862,96,395201295,44,327588925,16,155655269,87,217396962
"[20, 15, 76, 16, 237, 39, 20, 15, 15, 76, 77, 38, 46, 29, 25, 46, 46, 64, 38, 38, 65, 23, 60, 23, 46, 21, 46, 22, 38, 108, 47, 48, 46, 46, 1, 38, 56, 57, 69, 122, 24, 123, 118, 9, 58, 119]",36,253991640,47,242676693,84,232250030,9,77826332,False,3321906932,114,193763136,104,190727408,70,141662342,10,33816792,82,182125903
"[20, 13, 72, 237, 16, 44, 29, 20, 15, 76, 77, 38, 25, 38, 46, 64, 38, 65, 28, 46, 244, 184, 185, 46, 60, 23, 21, 46, 22, 108, 46, 47, 48, 38, 40, 118, 9, 58, 119, 39, 61, 59, 60, 129]",75,113738944,69,410619003,99,240479231,32,119825768,False,3317491483,95,86353905,31,215114849,46,145607907,30,187570862,114,371156151
"[20, 15, 76, 237, 16, 38, 16, 39, 46, 20, 15, 76, 77, 46, 20, 34, 36, 46, 265, 29, 25, 38, 64, 38, 65, 46, 46, 46, 46, 60, 23, 46, 21, 22, 108, 46, 47, 48, 1, 24, 57, 58, 96]",8,125188274,75,142043564,83,118048927,88,197235920,True,3294873380,99,184361601,90,305004066,40,190818207,114,385946076,39,344531714
"[20, 14, 74, 15, 76, 44, 44, 15, 20, 76, 77, 20, 16, 34, 36, 25, 64, 65, 29, 60, 23, 21, 22, 108, 1, 46, 47, 48, 38, 56, 57, 122, 69, 24, 123]",41,92873308,60,98981006,68,183588936,23,107031620,True,3311429433,48,62419829,86,386370442,71,409176077,7,123236735,43,166887559
"[20, 15, 76, 237, 16, 39, 20, 15, 76, 77, 25, 29, 64, 65, 28, 38, 46, 20, 13, 72, 244, 73, 184, 38, 46, 185, 47, 38, 48, 60, 23, 21, 22, 108, 57, 23, 244, 99, 100, 24, 56, 57, 69, 122, 123, 58, 61, 59, 60, 60, 129, 235, 56, 57, 69, 57, 109, 69, 110, 21, 8, 115, 116]",30,87038697,32,121312218,57,145042702,15,195480994,False,3289130818,14,329671728,68,198673595,18,63186995,39,409030569,16,121220059
"[20, 15, 76, 16, 20, 15, 76, 77, 29, 46, 38, 265, 25, 46, 38, 64, 38, 65, 57, 38, 23, 244, 99, 100, 46, 38, 47, 48, 60, 23, 21, 22, 38, 108, 58, 61, 59, 60, 129, 58, 235]",1,164110632,36,102878463,87,318810791,7,132723367,True,3324987207,106,200263939,9,128896562,93,412451073,2,112497977,86,239360767
"[29, 20, 39, 39, 15, 76, 77, 29, 25, 265, 38, 64, 65, 38, 46, 57, 60, 46, 23, 46, 21, 22, 108, 46, 47, 48, 1, 56, 69, 24, 122, 123, 61, 59, 60, 129, 58, 235, 9]",107,99394623,88,78512097,68,72156367,41,9403474,False,3324102509,64,60943014,94,118419316,70,89945143,3,249455896,38,89038430
"[20, 15, 76, 237, 16, 39, 29, 25, 46, 46, 64, 65, 46, 46, 60, 23, 21, 22, 108, 46, 46, 47, 48, 1, 56, 57, 69, 122, 24, 123, 57, 58, 24, 96]",42,113757012,33,361088045,90,99416461,62,108393303,False,3323479928,39,118750025,18,127868190,87,86682852,28,104314302,104,183554959
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 39, 29, 38, 46, 34, 20, 16, 38, 25, 36, 64, 38, 65, 23, 21, 39, 60, 22, 108, 46, 46, 47, 48, 1, 38, 21, 8, 115, 116, 118, 9, 58, 119, 58, 61, 59, 60, 129, 235]",27,112179882,16,235909850,21,86738694,114,131769991,False,3309365118,23,184375674,94,86953944,86,69170657,6,26316691,13,219225327
"[20, 15, 76, 16, 39, 20, 34, 34, 36, 265, 44, 38, 29, 46, 25, 46, 46, 38, 38, 64, 65, 38, 46, 60, 23, 21, 22, 38, 108, 57, 46, 23, 244, 99, 100, 46, 47, 48, 21, 8, 115, 116, 56, 57, 122, 69, 24, 123]",36,329909080,62,100217790,7,92910639,14,121249109,True,3295422336,35,29149765,42,100881709,110,195292536,13,121314518,102,157343241
"[20, 15, 76, 16, 237, 39, 38, 46, 29, 64, 25, 65, 23, 46, 46, 21, 46, 22, 60, 108, 46, 47, 48, 61, 59, 60, 129, 58, 235, 9, 118, 58, 119]",64,113482277,28,111680138,41,118625894,13,156975575,False,3313608603,109,113892372,21,166281736,111,135205750,67,204682862,40,149604541
"[20, 15, 76, 16, 39, 46, 20, 15, 15, 76, 76, 77, 29, 34, 25, 38, 46, 46, 64, 38, 65, 46, 46, 60, 46, 23, 46, 21, 22, 108, 47, 48, 56, 57, 69, 122, 24, 123, 58, 61, 59, 60, 60, 129, 235, 21, 8, 115, 115, 116, 56, 57, 109, 69, 110]",7,164520538,48,315573606,27,102085684,87,236021015,True,3322292134,16,331348019,14,349879047,104,179457862,39,209014855,109,240826714
"[20, 15, 76, 16, 44, 20, 34, 36, 29, 265, 25, 38, 64, 38, 46, 65, 60, 38, 21, 46, 23, 46, 22, 108, 46, 47, 244, 48, 23, 57, 99, 100, 1, 38, 21, 8, 115, 116, 58, 61, 59, 60, 129, 235]",75,162987466,71,335679645,8,347362775,104,170590124,False,3288950719,64,234098999,67,102071768,97,118617374,50,181972866,39,130790530
"[20, 15, 76, 16, 20, 15, 76, 77, 34, 29, 25, 64, 38, 38, 65, 46, 60, 46, 38, 23, 46, 38, 21, 22, 108, 46, 47, 48, 23, 57, 244, 99, 100, 9, 118, 58, 119, 61, 59, 60, 129, 58, 235]",100,337154485,68,17802581,93,338298564,96,73510572,False,3309914055,9,272139416,70,381348029,20,128113186,46,194311100,62,109781083
"[20, 15, 76, 16, 39, 29, 39, 20, 34, 29, 38, 39, 36, 25, 17, 63, 13, 20, 72, 73, 28, 244, 184, 184, 185, 4, 28, 240, 187, 32, 229, 46, 26, 10, 172, 21, 22, 23, 60, 108]",102,402580307,10,372799504,71,68018206,68,100350378,False,3308939242,70,401222104,4,204735259,63,106453112,86,316206689,25,120732568
"[20, 15, 76, 237, 16, 39, 46, 20, 15, 76, 77, 46, 38, 29, 25, 46, 64, 46, 38, 65, 23, 21, 46, 22, 38, 60, 108, 46, 46, 47, 48, 1, 57, 56, 69, 24, 122, 123]",21,114289074,52,90933063,27,104504021,1,217752358,False,3311798258,88,78719313,76,123336715,87,384580139,67,6773141,23,106537660
"[20, 15, 76, 16, 39, 20, 34, 36, 29, 20, 15, 76, 77, 38, 46, 25, 46, 64, 65, 46, 23, 21, 22, 60, 108, 47, 48, 23, 57, 244, 99, 100, 1, 58, 61, 59, 60, 129, 235, 47, 220]",14,385946076,1,336957195,88,198413889,69,237818114,True,3317680129,62,383337123,87,131271703,76,184026829,40,102080994,92,198631761
"[20, 15, 76, 237, 16, 39, 34, 20, 16, 36, 29, 46, 20, 15, 76, 77, 25, 38, 265, 64, 38, 65, 60, 23, 21, 22, 38, 108, 46, 38, 47, 48, 1]",6,259510263,7,97279059,57,140429831,75,155791453,True,3297462292,68,352137965,4,124227188,13,342004484,41,216429683,87,131048535
"[20, 15, 76, 16, 39, 34, 20, 46, 36, 29, 265, 25, 64, 65, 60, 23, 21, 22, 46, 108, 23, 57, 46, 244, 99, 100, 47, 48, 1, 21, 8, 115, 116]",14,60963332,27,139509890,67,426081718,41,50550354,False,3315779611,75,341323241,1,115312913,114,234399391,99,335932923,11,293468100
"[20, 15, 76, 16, 39, 20, 34, 36, 20, 15, 76, 77, 265, 25, 64, 46, 65, 29, 38, 23, 244, 99, 57, 100, 38, 23, 21, 46, 22, 60, 108, 47, 48, 1, 60, 61, 59, 129, 58, 235, 21, 8, 115, 116]",44,164062967,9,185233341,32,228927261,7,136828612,True,3315615771,86,196195938,13,152133840,67,113415997,84,108696886,2,118455375
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 29, 20, 34, 265, 36, 46, 64, 25, 65, 38, 60, 46, 46, 46, 23, 21, 22, 108, 1, 47, 48, 21, 8, 115, 116]",31,115756000,97,112710088,20,120361212,44,106724315,True,3291031588,42,106538684,71,382458438,110,185464928,112,152687911,34,112553451
"[20, 15, 76, 16, 237, 39, 44, 46, 46, 46, 20, 16, 34, 46, 265, 36, 29, 25, 46, 64, 65, 46, 60, 23, 21, 22, 108, 47, 48, 21, 8, 115, 116]",1,178501825,37,61098207,91,169025618,29,92423451,True,3306866725,59,178032556,75,230379777,102,103651950,13,386545209,16,90125566
"[20, 15, 76, 16, 237, 29, 25, 38, 46, 38, 64, 38, 65, 46, 46, 23, 42, 46, 21, 46, 38, 22, 60, 108, 57, 23, 244, 99, 100, 46, 47, 48, 21, 8, 115, 116, 61, 59, 60, 129, 58, 235]",20,249043309,100,240364135,23,326327879,13,53633493,False,3309725754,76,167440235,71,91854805,75,78171813,8,114817642,7,218736702
"[20, 15, 76, 16, 45, 45, 44, 20, 15, 76, 77, 29, 265, 42, 20, 16, 34, 36, 25, 265, 46, 64, 65, 20, 13, 13, 72, 73, 244, 28, 184, 185, 60, 23, 21, 22, 108, 46, 47, 48]",32,199823359,53,86758397,22,106274513,4,73670256,True,3298060361,13,325721360,87,322625751,75,118047282,81,59110603,63,131277062
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 38, 46, 29, 25, 64, 38, 65, 23, 46, 46, 46, 21, 257, 22, 60, 108, 257, 46, 46, 47, 48, 21, 8, 115, 116, 58, 61, 59, 60, 129, 235, 257, 56, 57, 122, 69, 24, 123]",88,92824319,16,103216998,22,86824794,4,104314664,False,3305506896,59,150748346,101,383626869,33,109221881,15,86891646,111,134506584
"[20, 15, 76, 16, 39, 20, 34, 36, 29, 38, 46, 265, 64, 25, 65, 38, 38, 60, 23, 21, 22, 46, 108, 47, 48]",110,348725056,7,150928194,70,109096454,51,11738415,False,3293210715,14,163315424,11,131284496,77,26287479,86,108074964,98,196012404
"[20, 15, 76, 16, 237, 39, 20, 16, 34, 36, 29, 25, 64, 46, 65, 38, 60, 23, 21, 22, 46, 108, 244, 23, 57, 46, 99, 100, 46, 47, 48, 1, 56, 57, 24, 122, 69, 123]",95,296715521,71,124154196,87,160715369,7,116280687,True,3299117158,59,381116946,104,124736172,68,77107137,39,88326711,111,312387465
"[20, 15, 76, 16, 39, 20, 15, 76, 77, 29, 44, 39, 265, 38, 20, 34, 36, 25, 46, 64, 38, 65, 43, 46, 46, 188, 38, 60, 46, 23, 21, 22, 38, 108, 47, 48, 57, 56, 69, 122, 38, 24, 123, 61, 59, 60, 129, 58, 235, 54, 51, 133]",65,104979079,16,277925878,93,410485012,3,398214079,True,3294267520,88,183477172,37,316342067,11,40144634,8,114511886,104,89428883
"[20, 15, 76, 16, 39, 20, 34, 36, 46, 29, 25, 46, 64, 65, 23, 38, 21, 38, 60, 22, 108, 47, 48, 23, 56, 101, 102, 38, 21, 8, 115, 116, 24, 57, 58, 96, 58, 61, 59, 60, 129, 235]",62,351659733,70,162539779,16,93844612,50,100545454,True,3296045206,75,174108445,39,165066208,7,98064021,106,206743221,32,134090881
"[20, 15, 76, 16, 64, 25, 65, 46, 39, 29, 46, 28, 4, 240, 187, 23, 46, 60, 21, 22, 108, 46, 47, 48, 56, 57, 69, 9, 59, 226, 58, 9, 118, 119]",104,87060710,16,294875881,70,316173805,36,174175977,True,3290409122,14,237180403,12,95881885,108,25963192,50,124764954,61,69602973
